STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,iccs,International classification of crime for statistical purposes (ICCS),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2009,,149301,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2010,,142903,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2011,,139091,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2012,,136077,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2013,,127869,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2014,,125752,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2015,,127395,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2016,,140033,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2017,,137058,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2018,,136727,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2019,,133084,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2020,,130453,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2021,,122341,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020111,Serious assault,NR,Number,DE,Germany,2022,,144663,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2008,,1857,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2009,,5126,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2010,,4897,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2011,,4922,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2012,,5183,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2013,,4929,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2014,,4988,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2015,,4763,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2016,,4756,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2017,,4625,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2018,,4563,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2019,,4514,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2020,,4565,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2021,,5062,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS020221,Kidnapping,NR,Number,DE,Germany,2022,,4891,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2008,,56784,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2009,,49084,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2010,,36566,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2011,,36354,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2012,,36277,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2013,,35330,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2014,,34959,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2015,,34265,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2016,,37166,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2017,,34815,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2018,,40585,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2019,,40724,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2020,,41079,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2021,,41790,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0301,Sexual violence,NR,Number,DE,Germany,2022,,49690,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS03011,Rape,NR,Number,DE,Germany,2008,,7292,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS03011,Rape,NR,Number,DE,Germany,2009,,7314,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS03011,Rape,NR,Number,DE,Germany,2010,,7724,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS03011,Rape,NR,Number,DE,Germany,2011,,7539,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS03011,Rape,NR,Number,DE,Germany,2012,,8031,,,
